ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Nuclei,Parent_SecratoryMembrane
1,128,1002.5449101796407,791.4071856287425,128,128,128
1,129,421.136678200692,791.4186851211073,129,129,129
1,130,369.59031979256696,798.1434745030251,130,130,130
1,131,96.58338141950375,812.731679169071,131,131,131
1,132,493.15738758029977,805.0642398286938,132,132,132
1,133,399.2079207920792,832.2933168316831,133,133,133
1,134,252.20566948130278,838.692400482509,134,134,134
1,135,406.04651162790697,880.0953488372093,135,135,135
1,136,397.7115987460815,899.8213166144201,136,136,136
1,137,341.14485514485517,972.9480519480519,137,137,137
2,1,237.03225806451613,14.580645161290322,1,1,1
2,2,1007.530303030303,22.03787878787879,2,2,2
2,3,781.6312607944732,29.053540587219345,3,3,3
2,4,210.97826086956522,22.315217391304348,4,4,4
2,5,234.78571428571428,23.846938775510203,5,5,5
2,6,998.1270718232045,37.5414364640884,6,6,6
2,7,1026.9,45.4,7,7,7
2,8,477.4643545279383,40.529865125240846,8,8,8
2,9,963.6168224299065,46.64485981308411,9,9,9
2,10,1013.5348837209302,54.56976744186046,10,10,10
2,11,599.3927958833619,47.18867924528302,11,11,11
2,12,467.6447688564477,79.7043795620438,12,12,12
2,13,941.8333333333334,60.820238095238096,13,13,13
2,14,159.34615384615384,76.91346153846153,14,14,14
2,15,605.6361474435196,87.42449464922711,15,15,15
2,16,946.7040229885057,95.41091954022988,16,16,16
2,17,1190.4134615384614,85.75961538461539,17,17,17
2,18,81.64532019704434,125.9064039408867,18,18,18
2,19,573.864125932063,151.92046396023198,19,19,19
2,20,1230.2696629213483,128.16104868913857,20,20,20
2,21,1168.3091787439614,141.02898550724638,21,21,21
2,22,170.13810316139768,168.14808652246256,22,22,22
2,23,824.176,159.792,23,23,23
2,24,1013.53125,163.34375,24,24,24
2,25,125.875,168.77083333333334,25,25,25
2,26,872.13,173.67,26,26,26
2,27,1141.0399159663866,173.46008403361344,27,27,27
2,28,290.6303939962477,198.9268292682927,28,28,28
2,29,181.87080430652313,215.7846738442052,29,29,29
2,30,228.77566225165563,217.70612582781456,30,30,30
2,31,1044.8020833333333,221.42708333333334,31,31,31
2,32,1205.0387243735763,233.40546697038724,32,32,32
2,33,1176.8896103896104,234.07792207792207,33,33,33
2,34,955.1919191919192,231.59595959595958,34,34,34
2,35,1300.3854166666667,241.60416666666666,35,35,35
2,36,283.2299465240642,243.475935828877,36,36,36
2,37,1288.142857142857,256.0190476190476,37,37,37
2,38,230.99634146341464,273.52378048780486,38,38,38
2,39,121.42988929889299,278.4981549815498,39,39,39
2,40,914.8856088560885,283.86346863468634,40,40,40
2,41,936.0763358778626,300.8396946564886,41,41,41
2,42,182.33892617449663,308.3557046979866,42,42,42
2,43,987.9545454545455,301.90909090909093,43,43,43
2,44,691.2044293015332,321.6746166950596,44,44,44
2,45,877.2484662576687,326.80981595092027,45,45,45
2,46,697.141975308642,347.79753086419754,46,46,46
2,47,1048.25625,342.6125,47,47,47
2,48,954.7107438016529,354.6280991735537,48,48,48
2,49,884.1534170153417,359.4337517433752,49,49,49
2,50,225.87052023121387,355.6601156069364,50,50,50
2,51,880.0761014686249,383.29238985313754,51,51,51
2,52,181.13398058252426,371.1223300970874,52,52,52
2,53,556.3733333333333,388.4533333333333,53,53,53
2,54,1204.219213973799,386.87947598253277,54,54,54
2,55,570.1884057971015,395.8888888888889,55,55,55
2,56,529.9852941176471,401.8382352941176,56,56,56
2,57,525.454128440367,418.1788990825688,57,57,57
2,58,838.108870967742,407.41129032258067,58,58,58
2,59,745.9457831325301,426.5722891566265,59,59,59
2,60,732.525641025641,426.61538461538464,60,60,60
2,61,629.3506493506494,428.0194805194805,61,61,61
2,62,1290.7754098360656,422.9032786885246,62,62,62
2,63,561.34,434.0,63,63,63
2,64,735.6315789473684,437.2631578947368,64,64,64
2,65,975.5289855072464,437.5869565217391,65,65,65
2,66,1285.1609589041095,457.2277397260274,66,66,66
2,67,783.7611940298508,460.99626865671644,67,67,67
2,68,880.5746312684366,450.09321533923304,68,68,68
2,69,836.985549132948,500.3742774566474,69,69,69
2,70,771.645390070922,500.74468085106383,70,70,70
2,71,1150.8363636363636,524.1181818181818,71,71,71
2,72,1324.716894977169,536.9908675799087,72,72,72
2,73,1150.5625,541.875,73,73,73
2,74,727.1118881118881,556.027972027972,74,74,74
2,75,1126.4176470588236,580.2294117647059,75,75,75
2,76,915.9274193548387,582.8790322580645,76,76,76
2,77,386.3770014556041,648.3042212518195,77,77,77
2,78,405.9880478087649,642.1553784860557,78,78,78
2,79,867.8297180043384,668.4783080260304,79,79,79
2,80,818.344563552833,747.8453292496172,80,80,80
2,81,970.0152542372881,757.9372881355932,81,81,81
2,82,939.1330935251799,782.5647482014389,82,82,82
2,83,1139.7318087318088,774.0790020790021,83,83,83
2,84,1152.8844221105528,794.2378559463987,84,84,84
2,85,1039.21875,788.9320652173913,85,85,85
2,86,1325.7163461538462,827.9455128205128,86,86,86
2,87,1013.6341968911917,815.9751295336788,87,87,87
2,88,1034.6541889483067,844.9429590017826,88,88,88
2,89,805.4185520361991,834.7579185520362,89,89,89
2,90,1078.4377923292798,860.2048643592142,90,90,90
2,91,1198.123499142367,834.2830188679245,91,91,91
2,92,1216.9447731755424,859.4082840236687,92,92,92
2,93,1181.9715189873418,869.7958860759494,93,93,93
2,94,27.55952380952381,969.5595238095239,94,94,94
2,95,1005.5738203957382,984.738203957382,95,95,95
3,1,1191.137573964497,15.804733727810651,1,1,1
3,2,885.8925619834711,26.143250688705233,2,2,2
3,3,582.0227272727273,22.556818181818183,3,3,3
3,4,678.5330073349634,16.9119804400978,4,4,4
3,5,1054.812972972973,14.103783783783785,5,5,5
3,6,694.2586872586872,33.189189189189186,6,6,6
3,7,1040.3376987839101,48.26941066417212,7,7,7
3,8,1310.081081081081,43.009009009009006,8,8,8
3,9,1261.079754601227,34.57055214723926,9,9,9
3,10,810.9285714285714,47.467532467532465,10,10,10
3,11,270.6739811912226,46.76802507836991,11,11,11
3,12,263.1953125,59.359375,12,12,12
3,13,729.6590257879656,59.53008595988538,13,13,13
3,14,742.4826086956522,76.55652173913043,14,14,14
3,15,275.7931034482759,82.8768472906404,15,15,15
3,16,218.289156626506,93.92771084337349,16,16,16
3,17,241.7037037037037,102.3425925925926,17,17,17
3,18,271.04716981132077,106.29245283018868,18,18,18
3,19,985.9829250185597,97.9042316258352,19,19,19
3,20,1084.9301310043668,106.17467248908297,20,20,20
3,21,1048.662162162162,113.65625,21,21,21
3,22,682.3072463768116,114.17391304347827,22,22,22
3,23,227.30188679245282,116.14465408805032,23,23,23
3,24,991.3384321223709,135.1434034416826,24,24,24
3,25,1255.9476117103236,119.74114021571648,25,25,25
3,26,270.2487562189055,117.40298507462687,26,26,26
3,27,304.1559633027523,121.03669724770643,27,27,27
3,28,324.8645833333333,127.86458333333333,28,28,28
3,29,229.25,128.88636363636363,29,29,29
3,30,745.8651685393259,132.1685393258427,30,30,30
3,31,599.8683274021353,130.60142348754448,31,31,31
3,32,590.3962264150944,141.11320754716982,32,32,32
3,33,751.2022471910112,146.3932584269663,33,33,33
3,34,895.50656167979,143.79527559055117,34,34,34
3,35,584.074074074074,149.71604938271605,35,35,35
3,36,795.0718562874251,145.31736526946108,36,36,36
3,37,1237.2594524119947,158.30638852672752,37,37,37
3,38,795.6220703125,178.447265625,38,38,38
3,39,440.7676767676768,159.83501683501683,39,39,39
3,40,107.966472303207,180.37900874635568,40,40,40
3,41,410.8378378378378,180.5855855855856,41,41,41
3,42,1208.6988636363637,179.6534090909091,42,42,42
3,43,134.43864229765012,168.8355091383812,43,43,43
3,44,309.5857142857143,178.84285714285716,44,44,44
3,45,1060.8553069966683,200.565445026178,45,45,45
3,46,410.13138686131384,193.96350364963504,46,46,46
3,47,722.1173184357542,186.0782122905028,47,47,47
3,48,315.8085106382979,205.96808510638297,48,48,48
3,49,303.50632911392404,204.77215189873417,49,49,49
3,50,207.1478260869565,231.87391304347827,50,50,50
3,51,796.2192575406033,239.70533642691416,51,51,51
3,52,223.74834437086093,230.18543046357615,52,52,52
3,53,488.25,278.02272727272725,53,53,53
3,54,647.7467105263158,274.3453947368421,54,54,54
3,55,599.5360824742268,279.07216494845363,55,55,55
3,56,485.19850187265916,290.0936329588015,56,56,56
3,57,579.7460317460317,291.36507936507934,57,57,57
3,58,502.86778846153845,297.83413461538464,58,58,58
3,59,572.8888888888889,302.0246913580247,59,59,59
3,60,171.6216216216216,340.5855855855856,60,60,60
3,61,186.3312101910828,340.38853503184714,61,61,61
3,62,883.9236111111111,346.7708333333333,62,62,62
3,63,430.84304932735427,347.52466367713004,63,63,63
3,64,714.3764705882353,380.9647058823529,64,64,64
3,65,151.04195804195805,389.06293706293707,65,65,65
3,66,835.9685039370079,394.07086614173227,66,66,66
3,67,657.8356164383562,390.6849315068493,67,67,67
