ImageNumber,ObjectNumber,Children_PlasmaMembrane_Count,Children_SecratoryMembrane_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,1,487.314629258517,23.50501002004008,0,1
1,2,1,1,539.024,27.22,0,2
1,3,1,1,856.8649093904448,24.54365733113674,0,3
1,4,1,1,1057.987745098039,34.06127450980392,0,4
1,5,1,1,697.8565022421525,26.90134529147982,0,5
1,6,1,1,532.590405904059,37.22140221402214,0,6
1,7,1,1,690.4173228346457,40.55905511811024,0,7
1,8,1,1,767.7183098591549,40.35070422535211,0,8
1,9,1,1,598.4843205574913,51.048780487804876,0,9
1,10,1,1,629.6386554621848,43.36974789915966,0,10
1,11,1,1,921.0723589001448,44.55137481910275,0,11
1,12,1,1,643.9164420485175,49.61455525606469,0,12
1,13,1,1,1006.1744791666666,50.296875,0,13
1,14,1,1,1237.4427083333333,58.541666666666664,0,14
1,15,1,1,1001.0483870967741,67.44657258064517,0,15
1,16,1,1,642.9556377079482,73.452865064695,0,16
1,17,1,1,920.4228187919463,68.9910514541387,0,17
1,18,1,1,205.2915766738661,75.23758099352052,0,18
1,19,1,1,150.05124450951683,73.96339677891655,0,19
1,20,1,1,790.7555228276877,72.71428571428571,0,20
1,21,1,1,907.789156626506,81.44578313253012,0,21
1,22,1,1,1258.478149100257,90.40359897172236,0,22
1,23,1,1,542.8252100840336,91.76470588235294,0,23
1,24,1,1,531.8651685393259,105.57303370786516,0,24
1,25,1,1,21.68986083499006,106.98608349900596,0,25
1,26,1,1,797.6810933940775,107.84738041002278,0,26
1,27,1,1,775.5919282511211,112.12107623318386,0,27
1,28,1,1,727.905,120.615,0,28
1,29,1,1,224.22520107238606,129.07774798927613,0,29
1,30,1,1,639.2255192878338,127.93471810089021,0,30
1,31,1,1,625.0804387568555,139.10054844606947,0,31
1,32,1,1,231.56692913385828,141.70078740157481,0,32
1,33,1,1,767.5164835164835,139.90934065934067,0,33
1,34,1,1,960.916149068323,142.19875776397515,0,34
1,35,1,1,1220.3179611650485,146.1893203883495,0,35
1,36,1,1,810.016447368421,154.57401315789474,0,36
1,37,1,1,720.19,161.605,0,37
1,38,1,1,1300.4773790951638,164.21684867394697,0,38
1,39,1,1,1025.4077253218884,169.93991416309012,0,39
1,40,1,1,634.8992248062016,172.5581395348837,0,40
1,41,1,1,1038.7490774907749,174.43542435424354,0,41
1,42,1,1,1013.8458904109589,178.41780821917808,0,42
1,43,1,1,1238.8046218487395,181.25840336134453,0,43
1,44,1,1,267.87520259319285,185.9870340356564,0,44
1,45,1,1,637.5290697674419,186.37209302325581,0,45
1,46,1,1,338.6971962616822,192.09719626168226,0,46
1,47,1,1,912.7075892857143,195.99553571428572,0,47
1,48,1,1,207.296875,203.4875,0,48
1,49,1,1,219.384375,209.734375,0,49
1,50,1,1,797.5103448275862,206.8551724137931,0,50
1,51,1,1,808.716,215.278,0,51
1,52,1,1,981.9638095238096,215.56952380952382,0,52
1,53,1,1,935.2892156862745,226.98039215686273,0,53
1,54,1,1,928.8398576512456,238.2491103202847,0,54
1,55,1,1,829.3256880733945,233.32339449541286,0,55
1,56,1,1,131.48758865248226,245.23758865248226,0,56
1,57,1,1,512.5564738292011,245.33471074380165,0,57
1,58,1,1,608.8138888888889,242.86388888888888,0,58
1,59,1,1,857.5202702702703,254.0033783783784,0,59
1,60,1,1,611.1767068273092,255.08634538152612,0,60
1,61,1,1,440.5030120481928,257.00602409638554,0,61
1,62,1,1,1215.1451149425288,262.0991379310345,0,62
1,63,1,1,853.2337662337662,264.2857142857143,0,63
1,64,1,1,1260.2164073550211,266.42857142857144,0,64
1,65,1,1,959.609756097561,271.8921694480103,0,65
1,66,1,1,770.086481947943,271.9806884970613,0,66
1,67,1,1,161.1453154875717,288.2753346080306,0,67
1,68,1,1,270.580078125,292.181640625,0,68
1,69,1,1,574.2452830188679,291.5566037735849,0,69
1,70,1,1,1302.7172195892574,299.8341232227488,0,70
1,71,1,1,991.8357289527721,304.77207392197124,0,71
1,72,1,1,588.2296296296296,308.4654320987654,0,72
1,73,1,1,617.9336734693877,311.5688775510204,0,73
1,74,1,1,173.38650306748465,317.39263803680984,0,74
1,75,1,1,640.1517467248908,319.8427947598253,0,75
1,76,1,1,964.4953271028037,326.89719626168227,0,76
1,77,1,1,291.05683836589697,331.9271758436945,0,77
1,78,1,1,940.8274760383387,335.40575079872207,0,78
1,79,1,1,950.967032967033,341.8241758241758,0,79
1,80,1,1,1132.102310231023,348.4884488448845,0,80
1,81,1,1,1146.7562076749437,344.3995485327314,0,81
1,82,1,1,817.2138157894736,347.73848684210526,0,82
1,83,1,1,536.6083844580777,378.8036809815951,0,83
1,84,1,1,452.7749140893471,376.64948453608247,0,84
1,85,1,1,452.8,390.49375,0,85
1,86,1,1,845.3564727954972,416.8048780487805,0,86
1,87,1,1,703.9621342512909,417.7934595524957,0,87
1,88,1,1,286.02946593001843,428.3462246777164,0,88
1,89,1,1,380.2896935933148,438.3704735376045,0,89
1,90,1,1,109.36788321167883,441.2131386861314,0,90
