ImageNumber,ObjectNumber,Children_PlasmaMembrane_Count,Intensity_IntegratedIntensityEdge_tsO45G,Intensity_IntegratedIntensity_tsO45G,Intensity_LowerQuartileIntensity_tsO45G,Intensity_MADIntensity_tsO45G,Intensity_MassDisplacement_tsO45G,Intensity_MaxIntensityEdge_tsO45G,Intensity_MaxIntensity_tsO45G,Intensity_MeanIntensityEdge_tsO45G,Intensity_MeanIntensity_tsO45G,Intensity_MedianIntensity_tsO45G,Intensity_MinIntensityEdge_tsO45G,Intensity_MinIntensity_tsO45G,Intensity_StdIntensityEdge_tsO45G,Intensity_StdIntensity_tsO45G,Intensity_UpperQuartileIntensity_tsO45G,Location_CenterMassIntensity_X_tsO45G,Location_CenterMassIntensity_Y_tsO45G,Location_CenterMassIntensity_Z_tsO45G,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_tsO45G,Location_MaxIntensity_Y_tsO45G,Location_MaxIntensity_Z_tsO45G,Number_Object_Number,Parent_Nuclei
1,1,1,0.37935455003753304,2.7302968371659517,0.005249103531241417,0.00022888509556651115,0.2619297526984987,0.006240940187126398,0.006240940187126398,0.005268813194965737,0.0054715367478275585,0.005508507136255503,0.0045929658226668835,0.0045929658226668835,0.0003387139743727822,0.00030584921479675375,0.0057068741880357265,487.21727491969455,23.748175247943117,0.0,487.314629258517,23.50501002004008,0,478.0,30.0,0.0,1,1
1,2,1,0.278385600540787,1.326833016704768,0.005142290610820055,0.00013733142986893654,0.10581625691792626,0.006256198976188898,0.006256198976188898,0.0053535692411689805,0.005307332066819072,0.005279621575027704,0.0049134050495922565,0.004867628216743469,0.00031926893888955095,0.00023684742471262918,0.005432211793959141,539.1144858196886,27.27485796809394,0.0,539.024,27.22,0,548.0,28.0,0.0,2,2
1,3,1,0.43257802026346326,3.3171130614355206,0.0052948808297514915,0.00015259021893143654,0.1834705954590807,0.006866559851914644,0.006866559851914644,0.005475671142575484,0.005464766163814696,0.005432211793959141,0.004547188524156809,0.004547188524156809,0.0004481411045048529,0.0002786900618068977,0.005615320056676865,857.0459686906216,24.51400957881725,0.0,856.8649093904448,24.54365733113674,0,872.0,20.0,0.0,3,3
1,4,1,0.5624322984367609,3.74483869317919,0.006393530406057835,0.0007171737961471081,1.8989448175993169,0.011306934989988804,0.014663919806480408,0.007119396182743809,0.007769374882114502,0.0068970778957009315,0.004730296786874533,0.004730296786874533,0.0019830527082664944,0.002164953216407228,0.008957046084105968,1058.792101638835,29.837102420158786,0.0,1058.4522821576763,31.70539419087137,0,1057.0,19.0,0.0,4,4
1,5,1,0.3096818565391004,1.1257191053591669,0.004924849490635097,0.00010681338608264923,0.08985964940186857,0.005737392231822014,0.005737392231822014,0.00507675174654263,0.0050480677370366225,0.005035477224737406,0.004562447778880596,0.004562447778880596,0.0002756659347180767,0.0002004230491238965,0.005142290610820055,697.9199989193962,26.837761263849984,0.0,697.8565022421525,26.90134529147982,0,703.0,28.0,0.0,5,5
1,6,1,0.3000381519086659,1.411642661318183,0.005065995268523693,0.00013733142986893654,0.07020257108584663,0.005676356144249439,0.005813687574118376,0.00517307158463217,0.005209013510399199,0.00520332669839263,0.004821850918233395,0.00474555604159832,0.00017141077664627362,0.00019670221638017554,0.005340657662600279,532.5475830100377,37.16577307835836,0.0,532.590405904059,37.22140221402214,0,527.0,35.0,0.0,6,6
1,7,1,0.2080109901726246,0.6116121290251613,0.004699778743088245,0.00011444254778325558,0.035491432832020865,0.005127031356096268,0.005127031356096268,0.004837464887735455,0.004815843535631191,0.004821850918233395,0.004547188524156809,0.004486152436584234,0.00014274412702179249,0.0001430033700877371,0.0049134050495922565,690.4513746841178,40.54904945211552,0.0,690.4173228346457,40.55905511811024,0,683.0,39.0,0.0,7,7
1,8,1,0.8790722666308284,9.939833793323487,0.008407721295952797,0.0014267181977629662,1.7367254188410184,0.012497139163315296,0.0240329597145319,0.008534682200299305,0.01095902292538422,0.009452964179217815,0.005584802012890577,0.005584802012890577,0.0015309444696873127,0.0036491338207850473,0.01268024742603302,768.6930597860177,35.832656096893324,0.0,768.162072767365,37.48621830209482,0,775.0,29.0,0.0,8,8
1,9,1,0.34445716766640544,1.70138097461313,0.00553902518004179,0.0003051804378628731,0.15873143159341394,0.0079194325953722,0.0079194325953722,0.006151020851185811,0.005928156705969094,0.0057984283193945885,0.0053864349611103535,0.00521858548745513,0.0006629569060176776,0.0005211967092204043,0.0061837187968194485,598.3278385582882,51.022152470584004,0.0,598.4843205574913,51.048780487804876,0,599.0,58.0,0.0,9,9
1,10,1,0.28252079570665956,1.254917244426906,0.005050736479461193,0.00012207217514514923,0.18284711954747063,0.008682383224368095,0.008682383224368095,0.005433092225128069,0.0052727615312054875,0.005157549399882555,0.004882887005805969,0.004776074085384607,0.0007976252058629049,0.0005139061417102618,0.0053025102242827415,629.6106078505736,43.55043104892663,0.0,629.6386554621848,43.36974789915966,0,628.0,54.0,0.0,10,10
1,11,1,1.104768458288163,13.945357580203563,0.0072785536758601665,0.0024414435029029846,4.240751522124749,0.01120012253522873,0.03465323895215988,0.008498218909908945,0.011621131316836302,0.009246967732906342,0.005035477224737406,0.005035477224737406,0.0018211984461585383,0.006009563104807884,0.014618143439292908,923.7764350617999,31.99290852341394,0.0,922.9058333333334,36.14333333333333,0,921.0,26.0,0.0,11,11
1,12,1,0.504692159127444,2.3237049309536815,0.005111772567033768,0.00024414435029029846,1.1425773795777499,0.011306934989988804,0.012512397952377796,0.006820164312533027,0.006115012976193899,0.005279621575027704,0.004715037997812033,0.004684519954025745,0.0019264533613909487,0.0016474529648738468,0.0065766386687755585,642.9522799734035,50.751917456830526,0.0,643.5842105263158,49.8,0,630.0,57.0,0.0,12,12
1,13,1,1.8862287560477853,22.228320888243616,0.010925459675490856,0.0030365455895662308,1.9335236653538581,0.016937514767050743,0.06060883402824402,0.01036389426399882,0.017284852945757087,0.013229572214186192,0.009185931645333767,0.009002823382616043,0.001596844485428453,0.009775953731476822,0.019920652732253075,1008.3091849924486,38.806263049416394,0.0,1007.5303265940902,37.03654743390358,0,1004.0,40.0,0.0,13,13
1,14,1,1.1639582021161914,30.68537433538586,0.017162585631012917,0.014648661017417908,0.39373191416574915,0.0158693827688694,0.062485694885253906,0.010678515615744875,0.033831724735816825,0.035904478281736374,0.009185931645333767,0.009185931645333767,0.0011888427574360593,0.016968854502537975,0.04641412943601608,1238.5265270521418,57.54598686343683,0.0,1238.5942668136715,57.93384785005512,0,1241.0,62.0,0.0,14,14
1,15,1,2.114763134624809,16.960967609193176,0.00680552376434207,0.003021285869181156,3.592053545776583,0.016784925013780594,0.023086899891495705,0.009440906851003612,0.010418284772231681,0.010223545134067535,0.005035477224737406,0.005035477224737406,0.0022432055404406426,0.0036340615896378278,0.01271076500415802,1013.0148739708854,74.9759531130896,0.0,1009.4723587223588,74.38144963144963,0,1022.0,75.0,0.0,15,15
